Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1000),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1000) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,,,,,,,,,,
12,CRCW0603470KFKEA,Vishay,CRCW0603470KFKEA,https://octopart.com/crcw0603470kfkea-vishay-39790115,"R1, R2, R4, R6, R11, R12, R15, R17, R21, R23, R27, R30",,470K 0603 1%,12000,541-470KHTR-ND,,CRCW0603470KFKEA,Tape & Reel,,,0.0025374811,,0.00484869,10000,,19359,5000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0711dcc&sid=459&ppid=39790115&vpid=114978613&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0511b8c&sid=2401&ppid=39790115&vpid=114828846&ct=offers,Avnet,CRCW0603470KFKEA,,0.0014303635500000002,0.017164362600000004,17.164362600000004,15000,5000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08b8c8b&sid=5822&ppid=39790115&vpid=257757979&ct=offers,
6,CRCW06031K00FKEA,Vishay,CRCW06031K00FKEA,https://octopart.com/crcw06031k00fkea-vishay-55433929,"R10, R19, R20, R25, R26, R28",,1K 0603 1%,6000,541-1.00KHTR-ND,,CRCW06031K00FKEA,Tape & Reel,,,0.00291729515,,0.01454607,1060000,,575253,5000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=049077f&sid=459&ppid=55433929&vpid=114978283&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0af9c94&sid=2401&ppid=55433929&vpid=187883128&ct=offers,Avnet,CRCW06031K00FKEA,,0.0015192562,0.0091155372,9.115537199999999,850000,5000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e55f81&sid=5822&ppid=55433929&vpid=257756459&ct=offers,
6,CC0603KRX7R9BB104,Yageo,CC0603KRX7R9BB104,https://octopart.com/cc0603krx7r9bb104-yageo-42244635,"C1, C2, C3, C7,C8, C10",,100nF,6000,311-1344-2-ND,,CC0603KRX7R9BB104,Tape & Reel,,,0.0044284701999999995,,0.005656805,3998000,,8495,4000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=004a615&sid=459&ppid=42244635&vpid=115141231&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0890135&sid=2401&ppid=42244635&vpid=115540542&ct=offers,Wuhan P&S,CC0603KRX7R9BB104,,0.0016970415,0.010182249,10.182249,20000,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c03af7&sid=14968&ppid=42244635&vpid=115266044&ct=offers,
6,CC0603MRX5R5BB106,Yageo,CC0603MRX5R5BB106,https://octopart.com/cc0603mrx5r5bb106-yageo-42335507,"C9, C12, C13, C14, C15, C16",,10uF,6000,311-1448-2-ND,,CC0603MRX5R5BB106,Tape & Reel,,,0.02695063525,,0.033940830000000005,396000,,17659,4000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0829da1&sid=459&ppid=42335507&vpid=115225651&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0eb5baf&sid=2401&ppid=42335507&vpid=115233262&ct=offers,Wuhan P&S,CC0603MRX5R5BB106,,0.007838715500000001,0.047032293,47.03229300000001,20000,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=099e083&sid=14968&ppid=42335507&vpid=156726455&ct=offers,
2,CC0603KRX7R9BB223,Yageo,CC0603KRX7R9BB223,https://octopart.com/cc0603krx7r9bb223-yageo-41224721,"C4, C11",,22pF,2000,311-1370-1-ND,,CC0603KRX7R9BB223,Cut Tape,,,0.0101499244,,0.00969738,56003,,7851,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a2fcb5&sid=459&ppid=41224721&vpid=115681372&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a5185f&sid=2401&ppid=41224721&vpid=115001579&ct=offers,TME,CC0603KRX7R9223,,0.0016162300000000002,0.0032324600000000004,3.2324600000000006,95700,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0202471&sid=1532&ppid=41224721&vpid=116524512&ct=offers,
3,RE1206DR-0722RL,Yageo / Phycomp,RE1206DR-0722RL,https://octopart.com/re1206dr-0722rl-yageo+%2F+phycomp-18818792,"R7, R8, R9",,22R 1206 0.5%,3000,,,,,,,,,,,,,,,,,,,element14 APAC,1840639,,0.049904680634863606,0.1497140419045908,149.7140419045908,359,50,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=046eb3d&sid=11744&ppid=18818792&vpid=132766179&ct=offers,"(0.1% preferred, difficult to source)"
3,CC0603KRX7R8BB105,Yageo,CC0603KRX7R8BB105,https://octopart.com/cc0603krx7r8bb105-yageo-24490981,"C5, C6, C17",,1uF,3000,311-1802-1-ND,,CC0603KRX7R8BB105,Cut Tape,,,0.013164193349999999,,0.012121725,83091,,18666,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04aefbe&sid=459&ppid=24490981&vpid=193846493&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00a6098&sid=2401&ppid=24490981&vpid=182745269&ct=offers,Arrow,CC0603KRX7R8BB105**MULT1,Cut Tape,0.010182249,0.030546747000000003,30.546747000000003,3000,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00ea084&sid=1106&ppid=24490981&vpid=276213779&ct=offers,
2,CRCW0603120KFKEA,Vishay,CRCW0603120KFKEA,https://octopart.com/crcw0603120kfkea-vishay-39855558,"R13, R24",,120K,2000,541-120KHCT-ND,,CRCW0603120KFKEA,Cut Tape,,,0.0044769571,,0.01454607,167068,,34498,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0da2c28&sid=459&ppid=39855558&vpid=114978202&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0da210d&sid=2401&ppid=39855558&vpid=114828664&ct=offers,Chip One Stop Global,C1S803600182800,,0.0023142623151204012,0.0046285246302408024,4.628524630240802,3319,200,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=076c211&sid=27109&ppid=39855558&vpid=277014335&ct=offers,
2,CRCW060310K0FKEA,Vishay,CRCW060310K0FKEA,https://octopart.com/crcw060310k0fkea-vishay-55388213,"R14, R32",,10K 0603 1%,2000,541-10.0KHCT-ND,,CRCW060310K0FKEA,Cut Tape,,,0.0044769571,,0.01454607,5042903,,1112715,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07523d2&sid=459&ppid=55388213&vpid=114978174&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=041d63d&sid=2401&ppid=55388213&vpid=187883099&ct=offers,Arrow,CRCW060310K0FKEA**MULT1,Cut Tape,0.0017778530000000002,0.0035557060000000005,3.5557060000000007,429,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ec83bd&sid=1106&ppid=55388213&vpid=188038031&ct=offers,
1,ERA8AEB560V,Panasonic,ERA8AEB560V,https://octopart.com/era8aeb560v-panasonic-18895638,R29,,56R 1206 0.1%,1000,P56BCCT-ND,,ERA8AEB560V,Cut Tape,,,0.10216997944999999,,0.16808792,3922,,3182,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0abdc8e&sid=459&ppid=18895638&vpid=190509700&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=028cfab&sid=2401&ppid=18895638&vpid=189430381&ct=offers,Digi-Key,P56BCCT-ND,Cut Tape,0.10216997944999999,0.10216997944999999,102.16997944999999,3922,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0abdc8e&sid=459&ppid=18895638&vpid=190509700&ct=offers,
1,ERA8AEB121V,Panasonic,ERA8AEB121V,https://octopart.com/era8aeb121v-panasonic-18895585,R18,,120R 1206 0.1%,1000,P120BCDKR-ND,,ERA8AEB121V,Custom Reel,,,0.10216997944999999,,0.16808792,468,,1784,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0007f3f&sid=459&ppid=18895585&vpid=188057076&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02c5829&sid=2401&ppid=18895585&vpid=191601253&ct=offers,Digi-Key,P120BCDKR-ND,Custom Reel,0.10216997944999999,0.10216997944999999,102.16997944999999,468,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0007f3f&sid=459&ppid=18895585&vpid=188057076&ct=offers,
1,CRCW06034K70FKEA,Vishay,CRCW06034K70FKEA,https://octopart.com/crcw06034k70fkea-vishay-39455708,R33,,4K7 0603 1%,1000,541-4.70KHCT-ND,,CRCW06034K70FKEA,Cut Tape,,,0.0044769571,,0.01454607,349057,,390115,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ca88c9&sid=459&ppid=39455708&vpid=114978646&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=066dcaa&sid=2401&ppid=39455708&vpid=114828860&ct=offers,Chip One Stop Global,C1S803603318716,,0.0035207832172106097,0.0035207832172106097,3.5207832172106097,16184,200,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0bd375a&sid=27109&ppid=39455708&vpid=268151610&ct=offers,
1,EEEFK1C101P,Panasonic,EEE-FK1C101P,https://octopart.com/eee-fk1c101p-panasonic-39480986,C18,,100uF 16V Case D,1000,PCE3783TR-ND,,EEE-FK1C101P,Tape & Reel,,,0.0899755241,,0.096165685,362000,,32138,1000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e3d811&sid=459&ppid=39480986&vpid=114961135&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02cee2c&sid=2401&ppid=39480986&vpid=115159077&ct=offers,Chip One Stop Japan,C1S600603368558,Cut Tape,0.014181912357902456,0.014181912357902456,14.181912357902455,6067,50,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=078141c&sid=13512&ppid=39480986&vpid=279407579&ct=offers,
1,CRCW06030000Z0EA,Vishay,CRCW06030000Z0EA,https://octopart.com/crcw06030000z0ea-vishay-39556096,R31,,0R 0603 1%,1000,541-0.0GCT-ND,,CRCW06030000Z0EA,Cut Tape,,,0.0032971092000000004,,0.012929840000000001,2594476,,1059060,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=000bdda&sid=459&ppid=39556096&vpid=114978156&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03f3a73&sid=2401&ppid=39556096&vpid=114828649&ct=offers,Area51,CRCW06030000Z0EA,,0.0012121725,0.0012121725,1.2121725,15428,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0463353&sid=13811&ppid=39556096&vpid=189261491&ct=offers,
1,ATMEGA328P-AU,Microchip,ATMEGA328P-AU,https://octopart.com/atmega328p-au-microchip-77760215,U1,,TQFP32,1000,ATMEGA328P-AU-ND,,ATMEGA328P-AU,Tray,,,1.476426105,,1.2929840000000001,2383,,4530,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d5999e&sid=459&ppid=77760215&vpid=408716878&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04d8b91&sid=2401&ppid=77760215&vpid=408978600&ct=offers,microchipDIRECT,ATMEGA328P-AU,Tray,1.2444971,1.2444971,1244.4971,0,250,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f76a98&sid=13798&ppid=77760215&vpid=408724155&ct=offers,
